Kecamatan,Tanggal,Curah Hujan,Debit Air,Muka Air,Tinggi Banjir,Banjir Ya/Tidak
Ciluluk Paseh,2020-01-01,62,12.8,2.16,-,0
Ciluluk Paseh,2020-01-02,3,5.89,1.71,-,0
Ciluluk Paseh,2020-01-03,-,2.26,1.26,-,0
Ciluluk Paseh,2020-01-04,-,1.87,1.2,-,0
Ciluluk Paseh,2020-01-05,-,1.29,1.0,-,0
Ciluluk Paseh,2020-01-06,-,0.75,0.91,-,0
Ciluluk Paseh,2020-01-07,-,0.83,0.95,-,0
Ciluluk Paseh,2020-01-08,3.5,01.07,1.0,-,0
Ciluluk Paseh,2020-01-09,11,2.71,1.35,-,0
Ciluluk Paseh,2020-01-10,8.5,3.18,1.42,-,0
Ciluluk Paseh,2020-01-11,1.5,2.88,1.37,-,0
Ciluluk Paseh,2020-01-12,2,2.23,1.27,-,0
Ciluluk Paseh,2020-01-13,-,1.19,1.0,-,0
Ciluluk Paseh,2020-01-14,-,0.75,0.92,-,0
Ciluluk Paseh,2020-01-15,-,0.68,0.89,-,0
Ciluluk Paseh,2020-01-16,-,0.53,0.83,-,0
Ciluluk Paseh,2020-01-17,6.5,1.73,1.0,-,0
Ciluluk Paseh,2020-01-18,45,25.36,2.78,-,0
Ciluluk Paseh,2020-01-19,12,29.26,2.91,-,0
Ciluluk Paseh,2020-01-20,16.5,32.53,3.0,-,0
Ciluluk Paseh,2020-01-21,40.5,27.38,2.84,-,0
Ciluluk Paseh,2020-01-22,2,28.72,2.89,-,0
Ciluluk Paseh,2020-01-23,20,36.97,3.15,-,0
Ciluluk Paseh,2020-01-24,67.5,44.24,3.31,-,0
Ciluluk Paseh,2020-01-25,45.5,61.46,3.75,-,0
Ciluluk Paseh,2020-01-26,39,66.09,3.83,-,0
Ciluluk Paseh,2020-01-27,27.5,60.16,3.7,-,0
Ciluluk Paseh,2020-01-28,0.5,42,3.26,-,0
Ciluluk Paseh,2020-01-29,1.5,19.07,2.49,-,0
Ciluluk Paseh,2020-01-30,21,12.89,2.2,-,0
Ciluluk Paseh,2020-01-31,0,6.43,1.76,-,0
Ciluluk Paseh,2020-02-01,6,5.14,1.65,-,0
Ciluluk Paseh,2020-02-02,2,5.22,1.66,-,0
Ciluluk Paseh,2020-02-03,-,5.31,1.67,-,0
Ciluluk Paseh,2020-02-04,4.5,5.39,1.68,-,0
Ciluluk Paseh,2020-02-05,65.5,5.52,1.68,-,0
Ciluluk Paseh,2020-02-06,17,5.68,1.69,-,0
Ciluluk Paseh,2020-02-07,10,5.77,1.7,-,0
Ciluluk Paseh,2020-02-08,21.5,5.86,1.71,-,0
Ciluluk Paseh,2020-02-09,1,5.96,1.72,-,0
Ciluluk Paseh,2020-02-10,62.5,06.05,1.73,-,0
Ciluluk Paseh,2020-02-11,-,6.14,1.74,-,0
Ciluluk Paseh,2020-02-12,-,6.24,1.75,-,0
Ciluluk Paseh,2020-02-13,-11,6.33,1.76,-,0
Ciluluk Paseh,2020-02-14,1,6.42,1.77,-,0
Ciluluk Paseh,2020-02-15,3.5,6.52,1.78,-,0
Ciluluk Paseh,2020-02-16,18.5,6.73,1.79,-,0
Ciluluk Paseh,2020-02-17,22,6.84,1.8,-,0
Ciluluk Paseh,2020-02-18,17,6.95,1.81,-,0
Ciluluk Paseh,2020-02-19,9,07.05,1.82,-,0
Ciluluk Paseh,2020-02-20,0,7.16,1.83,-,0
Ciluluk Paseh,2020-02-21,-,7.26,1.84,-,0
Ciluluk Paseh,2020-02-22,2,7.37,1.85,-,0
Ciluluk Paseh,2020-02-23,-,7.47,1.85,-,0
Ciluluk Paseh,2020-02-24,-7,7.58,1.86,-,0
Ciluluk Paseh,2020-02-25,8,7.68,1.87,-,0
Ciluluk Paseh,2020-02-26,6.5,7.84,1.88,-,0
Ciluluk Paseh,2020-02-27,6,08.03,1.89,-,0
Ciluluk Paseh,2020-02-28,4.5,8.15,1.9,-,0
Ciluluk Paseh,2020-02-29,11,8.26,1.91,-,0
Ciluluk Paseh,2020-03-01,49.5,8.38,1.92,-,0
Ciluluk Paseh,2020-03-02,4,8.5,1.93,-,0
Ciluluk Paseh,2020-03-03,-8,8.61,1.94,-,0
Ciluluk Paseh,2020-03-04,12,8.73,1.95,-,0
Ciluluk Paseh,2020-03-05,9,8.85,1.96,-,0
Ciluluk Paseh,2020-03-06,17,8.96,1.97,-,0
Ciluluk Paseh,2020-03-07,1,09.08,1.98,-,0
Ciluluk Paseh,2020-03-08,2.5,9.34,1.99,-,0
Ciluluk Paseh,2020-03-09,-,9.48,2,-,0
Ciluluk Paseh,2020-03-10,-,9.61,2.0,-,0
Ciluluk Paseh,2020-03-11,-,9.74,2.1,-,0
Ciluluk Paseh,2020-03-12,3.5,9.87,2.2,-,0
Ciluluk Paseh,2020-03-13,-10,9.99,2.3,-,0
Ciluluk Paseh,2020-03-14,-,10.12,2.4,-,0
Ciluluk Paseh,2020-03-15,38,10.25,2.5,-,0
Ciluluk Paseh,2020-03-16,9.5,10.38,2.6,-,0
Ciluluk Paseh,2020-03-17,0,10.51,2.7,-,0
Ciluluk Paseh,2020-03-18,-,10.72,2.8,-,0
Ciluluk Paseh,2020-03-19,-3,10.94,2.9,-,0
Ciluluk Paseh,2020-03-20,-,11.08,2.1,-,0
Ciluluk Paseh,2020-03-21,22,11.22,2.11,-,0
Ciluluk Paseh,2020-03-22,10,11.37,2.12,-,0
Ciluluk Paseh,2020-03-23,0,11.51,2.13,-,0
Ciluluk Paseh,2020-03-24,30.12,11.65,2.14,-,0
Ciluluk Paseh,2020-03-25,7.5,11.79,2.15,-,0
Ciluluk Paseh,2020-03-26,11.5,11.93,2.16,-,0
Ciluluk Paseh,2020-03-27,8.5,12.08,2.17,-,0
Ciluluk Paseh,2020-03-28,5,12.22,2.17,-,0
Ciluluk Paseh,2020-03-29,12,12.53,2.18,-,0
Ciluluk Paseh,2020-03-30,21,12.69,2.19,-,0
Ciluluk Paseh,2020-03-31,49,12.85,2.2,-,0
Ciluluk Paseh,2020-04-01,- 45.5,12.47,2.18,-,0
Ciluluk Paseh,2020-04-02,-3,15.6,2.35,-,0
Ciluluk Paseh,2020-04-03,1.5,16.13,2.38,-,0
Ciluluk Paseh,2020-04-04,-,16.1,2.37,-,0
Ciluluk Paseh,2020-04-05,-,13.23,2.22,-,0
Ciluluk Paseh,2020-04-06,-,15.11,2.33,-,0
Ciluluk Paseh,2020-04-07,-,14.32,2.28,-,0
Ciluluk Paseh,2020-04-08,-,15.39,2.34,-,0
Ciluluk Paseh,2020-04-09,-,14.61,2.3,-,0
Ciluluk Paseh,2020-04-10,-,15.92,2.37,-,0
Ciluluk Paseh,2020-04-11,12,13.35,2.23,-,0
Ciluluk Paseh,2020-04-12,3.5,13.76,2.26,-,0
Ciluluk Paseh,2020-04-13,-,14.26,2.28,-,0
Ciluluk Paseh,2020-04-14,-,12.99,2.21,-,0
Ciluluk Paseh,2020-04-15,-,10.89,2.0,-,0
Ciluluk Paseh,2020-04-16,-,10.93,2.9,-,0
Ciluluk Paseh,2020-04-17,-,10.38,2.4,-,0
Ciluluk Paseh,2020-04-18,- 12.5,23.45,2.7,-,0
Ciluluk Paseh,2020-04-19,9,24.98,2.74,-,0
Ciluluk Paseh,2020-04-20,-,15.86,2.34,-,0
Ciluluk Paseh,2020-04-21,7.5,39.26,3.21,-,0
Ciluluk Paseh,2020-04-22,-,25.37,2.72,-,0
Ciluluk Paseh,2020-04-23,-,15.16,2.32,-,0
Ciluluk Paseh,2020-04-24,-60,7.81,1.86,-,0
Ciluluk Paseh,2020-04-25,-,4.88,1.58,-,0
Ciluluk Paseh,2020-04-26,6,4.47,1.57,-,0
Ciluluk Paseh,2020-04-27,16,4.75,1.59,-,0
Ciluluk Paseh,2020-04-28,8,10.8,2.8,-,0
Ciluluk Paseh,2020-04-29,-13,8.24,1.9,-,0
Ciluluk Paseh,2020-04-30,7,09.01,1.95,-,0
Ciluluk Paseh,2020-05-01,-,7.98,1.86,-,0
Ciluluk Paseh,2020-05-02,-,31.03,2.95,-,0
Ciluluk Paseh,2020-05-03,-2,12.43,2.14,-,0
Ciluluk Paseh,2020-05-04,-,7.75,1.83,-,0
Ciluluk Paseh,2020-05-05,-,6.97,1.81,-,0
Ciluluk Paseh,2020-05-06,-,5.3,1.64,-,0
Ciluluk Paseh,2020-05-07,-,4.77,1.59,-,0
Ciluluk Paseh,2020-05-08,-,4.81,1.6,-,0
Ciluluk Paseh,2020-05-09,-,3.41,1.43,-,0
Ciluluk Paseh,2020-05-10,-1,3.69,1.47,-,0
Ciluluk Paseh,2020-05-11,12,7.55,1.84,-,0
Ciluluk Paseh,2020-05-12,3.5,9.81,2,-,0
Ciluluk Paseh,2020-05-13,-,6.42,1.75,-,0
Ciluluk Paseh,2020-05-14,-,4.13,1.52,-,0
Ciluluk Paseh,2020-05-15,-,3.24,1.41,-,0
Ciluluk Paseh,2020-05-16,-,2.93,1.37,-,0
Ciluluk Paseh,2020-05-17,-,2.61,1.32,-,0
Ciluluk Paseh,2020-05-18,- 12.5,3.74,1.47,-,0
Ciluluk Paseh,2020-05-19,9,7.37,1.83,-,0
Ciluluk Paseh,2020-05-20,-,5.18,1.63,-,0
Ciluluk Paseh,2020-05-21,-,7.22,1.82,-,0
Ciluluk Paseh,2020-05-22,7.5,5.28,1.64,-,0
Ciluluk Paseh,2020-05-23,-,3.38,1.42,-,0
Ciluluk Paseh,2020-05-24,-,3.64,1.45,-,0
Ciluluk Paseh,2020-05-25,-60,15.23,2.34,-,0
Ciluluk Paseh,2020-05-26,6,14.72,2.3,-,0
Ciluluk Paseh,2020-05-27,16,12.41,2.17,-,0
Ciluluk Paseh,2020-05-28,8,13.35,2.21,-,0
Ciluluk Paseh,2020-05-29,-13,6.89,1.78,-,0
Ciluluk Paseh,2020-05-30,7,10.95,2.18,-,0
Ciluluk Paseh,2020-05-31,-,12,2.14,-,0
Ciluluk Paseh,2020-06-01,-,13.94,2.25,-,0
Ciluluk Paseh,2020-06-02,-,8.63,1.92,-,0
Ciluluk Paseh,2020-06-03,-,4.68,1.58,-,0
Ciluluk Paseh,2020-06-04,-2,03.09,1.36,-,0
Ciluluk Paseh,2020-06-05,-,2.63,1.32,-,0
Ciluluk Paseh,2020-06-06,-,2.85,1.35,-,0
Ciluluk Paseh,2020-06-07,-,2.54,1.3,-,0
Ciluluk Paseh,2020-06-08,-,2.44,1.29,-,0
Ciluluk Paseh,2020-06-09,-,2.39,1.27,-,0
Ciluluk Paseh,2020-06-10,-1,6.76,1.79,-,0
Ciluluk Paseh,2020-06-11,-,4.68,1.57,-,0
Ciluluk Paseh,2020-06-12,-,3.13,1.39,-,0
Ciluluk Paseh,2020-06-13,-,2.64,1.31,-,0
Ciluluk Paseh,2020-06-14,-,1.7,1.14,-,0
Ciluluk Paseh,2020-06-15,-,0.96,0.97,-,0
Ciluluk Paseh,2020-06-16,-,0.91,0.96,-,0
Ciluluk Paseh,2020-06-17,-,0.95,0.97,-,0
Ciluluk Paseh,2020-06-18,-,01.03,0.99,-,0
Ciluluk Paseh,2020-06-19,-5,1.31,1.6,-,0
Ciluluk Paseh,2020-06-20,2.5,02.03,1.22,-,0
Ciluluk Paseh,2020-06-21,-,1.83,1.18,-,0
Ciluluk Paseh,2020-06-22,0,02.09,1.23,-,0
Ciluluk Paseh,2020-06-23,9,3.35,1.43,-,0
Ciluluk Paseh,2020-06-24,-,2.41,1.28,-,0
Ciluluk Paseh,2020-06-25,-,1.59,1.13,-,0
Ciluluk Paseh,2020-06-26,-,1.21,1.4,-,0
Ciluluk Paseh,2020-06-27,-,0.91,0.96,-,0
Ciluluk Paseh,2020-06-28,-,0.98,0.98,-,0
Ciluluk Paseh,2020-06-29,-,0.89,0.96,-,0
Ciluluk Paseh,2020-06-30,-,0.89,0.96,-,0
Ciluluk Paseh,2020-07-01,-,0.84,0.94,-,0
Ciluluk Paseh,2020-07-02,-,0.87,0.95,-,0
Ciluluk Paseh,2020-07-03,9.5,0.99,0.98,-,0
Ciluluk Paseh,2020-07-04,-,1.53,1.12,-,0
Ciluluk Paseh,2020-07-05,-,1.17,01.04,-,0
Ciluluk Paseh,2020-07-06,0,0.94,0.97,-,0
Ciluluk Paseh,2020-07-07,-,0.94,0.97,-,0
Ciluluk Paseh,2020-07-08,-,0.87,0.95,-,0
Ciluluk Paseh,2020-07-09,-,0.9,0.96,-,0
Ciluluk Paseh,2020-07-10,-,0.87,0.95,-,0
Ciluluk Paseh,2020-07-11,-,0.78,0.92,-,0
Ciluluk Paseh,2020-07-12,-,0.61,0.86,-,0
Ciluluk Paseh,2020-07-13,-1,0.56,0.84,-,0
Ciluluk Paseh,2020-07-14,-,0.51,0.82,-,0
Ciluluk Paseh,2020-07-15,-,0.47,0.8,-,0
Ciluluk Paseh,2020-07-16,-,0.49,0.81,-,0
Ciluluk Paseh,2020-07-17,-,0.46,0.8,-,0
Ciluluk Paseh,2020-07-18,-,0.47,0.8,-,0
Ciluluk Paseh,2020-07-19,-,0.39,0.76,-,0
Ciluluk Paseh,2020-07-20,-,0.42,0.78,-,0
Ciluluk Paseh,2020-07-21,-,0.41,0.77,-,0
Ciluluk Paseh,2020-07-22,-,0.32,0.72,-,0
Ciluluk Paseh,2020-07-23,-,0.29,0.71,-,0
Ciluluk Paseh,2020-07-24,-,0.23,0.66,-,0
Ciluluk Paseh,2020-07-25,-,0.21,0.65,-,0
Ciluluk Paseh,2020-07-26,-,0.22,0.66,-,0
Ciluluk Paseh,2020-07-27,-,0.19,0.64,-,0
Ciluluk Paseh,2020-07-28,-,0.12,0.56,-,0
Ciluluk Paseh,2020-07-29,-,0.07,0.5,-,0
Ciluluk Paseh,2020-07-30,-,0.06,0.48,-,0
Ciluluk Paseh,2020-07-31,-,0.06,0.49,-,0
Ciluluk Paseh,2020-08-01,-,0.05,0.47,-,0
Ciluluk Paseh,2020-08-02,-,0.03,0.42,-,0
Ciluluk Paseh,2020-08-03,-,0.05,0.48,-,0
Ciluluk Paseh,2020-08-04,-,0.03,0.43,-,0
Ciluluk Paseh,2020-08-05,-,0.05,0.47,-,0
Ciluluk Paseh,2020-08-06,-,0.07,0.5,-,0
Ciluluk Paseh,2020-08-07,-,0.08,0.52,-,0
Ciluluk Paseh,2020-08-08,-,0.58,0.87,-,0
Ciluluk Paseh,2020-08-09,-,0.44,0.79,-,0
Ciluluk Paseh,2020-08-10,-,0.28,0.71,-,0
Ciluluk Paseh,2020-08-11,-,0.27,0.71,-,0
Ciluluk Paseh,2020-08-12,-,0.33,0.74,-,0
Ciluluk Paseh,2020-08-13,0,0.38,0.76,-,0
Ciluluk Paseh,2020-08-14,5.5,0.7,0.91,-,0
Ciluluk Paseh,2020-08-15,12.5,0.85,0.96,-,0
Ciluluk Paseh,2020-08-16,-,0.49,0.79,-,0
Ciluluk Paseh,2020-08-17,-,0.34,0.75,-,0
Ciluluk Paseh,2020-08-18,-,0.34,0.75,-,0
Ciluluk Paseh,2020-08-19,-,0.22,0.67,-,0
Ciluluk Paseh,2020-08-20,-,0.18,0.64,-,0
Ciluluk Paseh,2020-08-21,-,0.17,0.63,-,0
Ciluluk Paseh,2020-08-22,-,0.17,0.63,-,0
Ciluluk Paseh,2020-08-23,-,0.13,0.59,-,0
Ciluluk Paseh,2020-08-24,-,0.11,0.58,-,0
Ciluluk Paseh,2020-08-25,-,0.11,0.58,-,0
Ciluluk Paseh,2020-08-26,-,0.11,0.57,-,0
Ciluluk Paseh,2020-08-27,-,0.09,0.54,-,0
Ciluluk Paseh,2020-08-28,-,0.06,0.5,-,0
Ciluluk Paseh,2020-08-29,-,0.05,0.47,-,0
Ciluluk Paseh,2020-08-30,-,0.05,0.47,-,0
Ciluluk Paseh,2020-08-31,-,0.04,0.46,-,0
Ciluluk Paseh,2020-09-01,-,0.07,0.52,-,0
Ciluluk Paseh,2020-09-02,-,0.06,0.5,-,0
Ciluluk Paseh,2020-09-03,-,0,0.26,-,0
Ciluluk Paseh,2020-09-04,0,0,0.29,-,0
Ciluluk Paseh,2020-09-05,-,0,0.29,-,0
Ciluluk Paseh,2020-09-06,-,0,0.36,-,0
Ciluluk Paseh,2020-09-07,-,0.03,0.42,-,0
Ciluluk Paseh,2020-09-08,-,0.11,0.58,-,0
Ciluluk Paseh,2020-09-09,-,0.17,0.64,-,0
Ciluluk Paseh,2020-09-10,-,0.2,0.66,-,0
Ciluluk Paseh,2020-09-11,-,0,0.23,-,0
Ciluluk Paseh,2020-09-12,-,0,0.31,-,0
Ciluluk Paseh,2020-09-13,-,0,0.32,-,0
Ciluluk Paseh,2020-09-14,-,0.08,0.54,-,0
Ciluluk Paseh,2020-09-15,-,0.15,0.62,-,0
Ciluluk Paseh,2020-09-16,-,0.11,0.58,-,0
Ciluluk Paseh,2020-09-17,-,0.03,0.43,-,0
Ciluluk Paseh,2020-09-18,-,0.03,0.43,-,0
Ciluluk Paseh,2020-09-19,-,0.01,0.38,-,0
Ciluluk Paseh,2020-09-20,-,0,0.3,-,0
Ciluluk Paseh,2020-09-21,4,0.03,0.43,-,0
Ciluluk Paseh,2020-09-22,0,0.12,0.58,-,0
Ciluluk Paseh,2020-09-23,-,0.53,0.86,-,0
Ciluluk Paseh,2020-09-24,-,0.28,0.73,-,0
Ciluluk Paseh,2020-09-25,-,0.2,0.67,-,0
Ciluluk Paseh,2020-09-26,-,0.1,0.55,-,0
Ciluluk Paseh,2020-09-27,4.5,0.1,0.58,-,0
Ciluluk Paseh,2020-09-28,-,0.17,0.65,-,0
Ciluluk Paseh,2020-09-29,-,0.15,0.63,-,0
Ciluluk Paseh,2020-09-30,-,0.17,0.65,-,0
Ciluluk Paseh,2020-10-01,-,0.14,0.62,-,0
Ciluluk Paseh,2020-10-02,-,0.17,0.65,-,0
Ciluluk Paseh,2020-10-03,-5,0.48,0.83,-,0
Ciluluk Paseh,2020-10-04,10,0.46,0.83,-,0
Ciluluk Paseh,2020-10-05,-,0.27,0.72,-,0
Ciluluk Paseh,2020-10-06,-,0.24,0.71,-,0
Ciluluk Paseh,2020-10-07,-,0.2,0.68,-,0
Ciluluk Paseh,2020-10-08,-,0.19,0.67,-,0
Ciluluk Paseh,2020-10-09,-,0.21,0.68,-,0
Ciluluk Paseh,2020-10-10,2.5,0.28,0.74,-,0
Ciluluk Paseh,2020-10-11,-,0.26,0.73,-,0
Ciluluk Paseh,2020-10-12,-,0.24,0.71,-,0
Ciluluk Paseh,2020-10-13,-,0.22,0.7,-,0
Ciluluk Paseh,2020-10-14,-,0.2,0.68,-,0
Ciluluk Paseh,2020-10-15,-,0.18,0.67,-,0
Ciluluk Paseh,2020-10-16,-,0.24,0.71,-,0
Ciluluk Paseh,2020-10-17,-,0.49,0.86,-,0
Ciluluk Paseh,2020-10-18,-2,0.31,0.76,-,0
Ciluluk Paseh,2020-10-19,-,0.23,0.71,-,0
Ciluluk Paseh,2020-10-20,-,0.75,0.9,-,0
Ciluluk Paseh,2020-10-21,27.5,7.84,1.92,-,0
Ciluluk Paseh,2020-10-22,33,7.63,1.9,-,0
Ciluluk Paseh,2020-10-23,7,8.56,1.96,-,0
Ciluluk Paseh,2020-10-24,6,5.56,1.72,-,0
Ciluluk Paseh,2020-10-25,23,15.05,2.38,-,0
Ciluluk Paseh,2020-10-26,12.5,12.64,2.24,-,0
Ciluluk Paseh,2020-10-27,9.5,13.52,2.29,-,0
Ciluluk Paseh,2020-10-28,1.5,18.33,2.52,-,0
Ciluluk Paseh,2020-10-29,-,8.18,1.94,-,0
Ciluluk Paseh,2020-10-30,- 10.5,5.25,1.7,-,0
Ciluluk Paseh,2020-10-31,-,5.16,1.68,-,0
Ciluluk Paseh,2020-11-01,-,12.3,2.23,-,0
Ciluluk Paseh,2020-11-02,43.5,9.99,02.08,-,0
Ciluluk Paseh,2020-11-03,58,5.52,1.72,-,0
Ciluluk Paseh,2020-11-04,-2,3.85,1.54,-,0
Ciluluk Paseh,2020-11-05,-,2.3,1.33,-,0
Ciluluk Paseh,2020-11-06,-,2.24,1.32,-,0
Ciluluk Paseh,2020-11-07,16,1.98,1.27,-,0
Ciluluk Paseh,2020-11-08,-2,1.61,1.2,-,0
Ciluluk Paseh,2020-11-09,-,1.33,1.13,-,0
Ciluluk Paseh,2020-11-10,-,01.09,01.07,-,0
Ciluluk Paseh,2020-11-11,-,01.06,01.07,-,0
Ciluluk Paseh,2020-11-12,-3,0.78,0.98,-,0
Ciluluk Paseh,2020-11-13,1.5,0.98,01.05,-,0
Ciluluk Paseh,2020-11-14,-,0.83,0.99,-,0
Ciluluk Paseh,2020-11-15,-,1.2,0.99,-,0
Ciluluk Paseh,2020-11-16,-,1.53,1.19,-,0
Ciluluk Paseh,2020-11-17,-,02.04,1.29,-,0
Ciluluk Paseh,2020-11-18,-,2.76,1.41,-,0
Ciluluk Paseh,2020-11-19,-,2.84,1.42,-,0
Ciluluk Paseh,2020-11-20,0,3.29,1.48,-,0
Ciluluk Paseh,2020-11-21,52,3.51,1.51,-,0
Ciluluk Paseh,2020-11-22,-24,3.96,1.57,-,0
Ciluluk Paseh,2020-11-23,25,8.44,1.99,-,0
Ciluluk Paseh,2020-11-24,3,15.54,2.41,-,0
Ciluluk Paseh,2020-11-25,-,8.8,1.99,-,0
Ciluluk Paseh,2020-11-26,1,5.81,1.76,-,0
Ciluluk Paseh,2020-11-27,-5,3.86,1.55,-,0
Ciluluk Paseh,2020-11-28,4,7.2,1.89,-,0
Ciluluk Paseh,2020-11-29,14,6.23,1.79,-,0
Ciluluk Paseh,2020-11-30,-,5.47,1.74,-,0
Ciluluk Paseh,2020-12-01,3,6.21,1.8,-,0
Ciluluk Paseh,2020-12-02,15,5.43,1.72,-,0
Ciluluk Paseh,2020-12-03,13,08.04,1.96,-,0
Ciluluk Paseh,2020-12-04,2,5.41,1.72,-,0
Ciluluk Paseh,2020-12-05,-,3.81,1.54,-,0
Ciluluk Paseh,2020-12-06,4,3.27,1.48,-,0
Ciluluk Paseh,2020-12-07,5,3.41,1.5,-,0
Ciluluk Paseh,2020-12-08,-,2.38,1.35,-,0
Ciluluk Paseh,2020-12-09,0,1.85,1.25,-,0
Ciluluk Paseh,2020-12-10,-,1.49,1.17,-,0
Ciluluk Paseh,2020-12-11,0.5,1.15,01.08,-,0
Ciluluk Paseh,2020-12-12,0,0.81,0.99,-,0
Ciluluk Paseh,2020-12-13,12,2.67,1.4,-,0
Ciluluk Paseh,2020-12-14,2.5,03.08,1.44,-,0
Ciluluk Paseh,2020-12-15,63,12.13,2.23,-,0
Ciluluk Paseh,2020-12-16,6.5,11.72,2.19,-,0
Ciluluk Paseh,2020-12-17,37.5,14.52,2.35,-,0
Ciluluk Paseh,2020-12-18,1,8.46,1.98,-,0
Ciluluk Paseh,2020-12-19,29,7.6,1.91,-,0
Ciluluk Paseh,2020-12-20,-,04.08,1.58,-,0
Ciluluk Paseh,2020-12-21,-,2.61,1.38,-,0
Ciluluk Paseh,2020-12-22,-,2.29,1.33,-,0
Ciluluk Paseh,2020-12-23,1.5,3.35,1.49,-,0
Ciluluk Paseh,2020-12-24,0,5.99,1.73,-,0
Ciluluk Paseh,2020-12-25,42,36.26,3.19,-,0
Ciluluk Paseh,2020-12-26,16,21.66,2.65,-,0
Ciluluk Paseh,2020-12-27,1.5,10.02,2.0,-,0
Ciluluk Paseh,2020-12-28,3.5,11.75,2.2,-,0
Ciluluk Paseh,2020-12-29,0,7.54,1.9,-,0
Ciluluk Paseh,2020-12-30,5.5,6.93,1.86,-,0
Ciluluk Paseh,2020-12-31,10,7.66,1.91,-,0
Ciluluk Paseh,2021-01-01,-,8.42,1.69,-,0
Ciluluk Paseh,2021-01-02,2,7.98,1.52,-,0
Ciluluk Paseh,2021-01-03,4,7.65,1.63,-,0
Ciluluk Paseh,2021-01-04,18,7.23,1.7,-,0
Ciluluk Paseh,2021-01-05,4.5,6.91,2.13,-,0
Ciluluk Paseh,2021-01-06,-,6.72,1.85,-,0
Ciluluk Paseh,2021-01-07,1,6.55,1.76,-,0
Ciluluk Paseh,2021-01-08,0,6.33,1.62,-,0
Ciluluk Paseh,2021-01-09,2,6.12,1.8,-,0
Ciluluk Paseh,2021-01-10,41.5,5.98,2.98,-,0
Ciluluk Paseh,2021-01-11,18.5,5.76,3.29,-,0
Ciluluk Paseh,2021-01-12,46.5,5.64,3.35,-,0
Ciluluk Paseh,2021-01-13,23,5.52,3.39,-,0
Ciluluk Paseh,2021-01-14,22,5.41,3.25,-,0
Ciluluk Paseh,2021-01-15,46,5.33,3.1,-,0
Ciluluk Paseh,2021-01-16,-,5.21,2.72,-,0
Ciluluk Paseh,2021-01-17,4.5,5.12,2.61,-,0
Ciluluk Paseh,2021-01-18,-,05.03,02.07,-,0
Ciluluk Paseh,2021-01-19,2.5,4.95,1.97,-,0
Ciluluk Paseh,2021-01-20,0,4.86,1.79,-,0
Ciluluk Paseh,2021-01-21,1.5,4.75,1.79,-,0
Ciluluk Paseh,2021-01-22,19.5,4.63,2.2,-,0
Ciluluk Paseh,2021-01-23,2.5,4.51,1.83,-,0
Ciluluk Paseh,2021-01-24,0,4.42,1.71,-,0
Ciluluk Paseh,2021-01-25,9.5,4.33,1.79,-,0
Ciluluk Paseh,2021-01-26,23.5,4.21,2.11,-,0
Ciluluk Paseh,2021-01-27,47,4.10,2.68,-,0
Ciluluk Paseh,2021-01-28,0,3.98,2.29,-,0
Ciluluk Paseh,2021-01-29,0,3.87,2.0,-,0
Ciluluk Paseh,2021-01-30,2,3.76,1.85,-,0
Ciluluk Paseh,2021-01-31,2,3.65,1.75,-,0
Ciluluk Paseh,2021-02-01,-,3.54,1.64,-,0
Ciluluk Paseh,2021-02-02,2.5,3.42,1.67,-,0
Ciluluk Paseh,2021-02-03,4,3.31,1.76,-,0
Ciluluk Paseh,2021-02-04,3,3.20,1.69,-,0
Ciluluk Paseh,2021-02-05,17.5,03.09,1.93,-,0
Ciluluk Paseh,2021-02-06,3,2.98,1.82,-,0
Ciluluk Paseh,2021-02-07,6.5,2.87,2.23,-,0
Ciluluk Paseh,2021-02-08,12.5,2.76,2.58,-,0
Ciluluk Paseh,2021-02-09,0,2.65,2.16,-,0
Ciluluk Paseh,2021-02-10,0,2.54,1.87,-,0
Ciluluk Paseh,2021-02-11,1.5,2.43,1.72,-,0
Ciluluk Paseh,2021-02-12,-,2.32,1.62,-,0
Ciluluk Paseh,2021-02-13,-,2.21,1.67,-,0
Ciluluk Paseh,2021-02-14,-,2.10,1.47,-,0
Ciluluk Paseh,2021-02-15,-,2.00,1.45,-,0
Ciluluk Paseh,2021-02-16,0.5,1.92,1.46,-,0
Ciluluk Paseh,2021-02-17,-,1.85,1.47,-,0
Ciluluk Paseh,2021-02-18,-,1.77,1.48,-,0
Ciluluk Paseh,2021-02-19,29,1.70,1.91,-,0
Ciluluk Paseh,2021-02-20,0.5,1.63,1.68,-,0
Ciluluk Paseh,2021-02-21,6,1.57,1.79,-,0
Ciluluk Paseh,2021-02-22,0,1.50,1.54,-,0
Ciluluk Paseh,2021-02-23,0,1.43,1.47,-,0
Ciluluk Paseh,2021-02-24,3,1.36,1.45,-,0
Ciluluk Paseh,2021-02-25,-,1.29,1.48,-,0
Ciluluk Paseh,2021-02-26,15,1.22,1.93,-,0
Ciluluk Paseh,2021-02-27,0,1.16,1.62,-,0
Ciluluk Paseh,2021-02-28,-,1.10,1.46,-,0
Ciluluk Paseh,2021-03-01,-,01.05,1.4,-,0
Ciluluk Paseh,2021-03-02,42,0.99,1.95,-,0
Ciluluk Paseh,2021-03-03,-,0.94,1.69,-,0
Ciluluk Paseh,2021-03-04,5,0.90,1.96,-,0
Ciluluk Paseh,2021-03-05,8,0.86,2.28,-,0
